adapter_name,adapter_sku,adapter_brand,stroller_brand,stroller_models_named,car_seat_brands_named,car_seat_models_named,adapter_status,adapter_generation,adapter_revision,provider,catalog_product_id,babylist_url,amazon_url,other_retailer_url,exact_product_link,price,image_available,compatibility_rows_using_adapter,hard_coded_rule_source,inferred_from_title,duplicate_group,current_or_legacy,notes
Uppababy - Adapters For Minu V3 - (Compatible with all Mesa and Aria car seats),,UPPAbaby,,,,,SOLD_SEPARATELY,V3,,shopify_macrobaby,cmqx4kh0400fo3a8ufkmi73hu,,,https://www.macrobaby.com/products/uppababy-adapters-for-minu-v3-compatible-with-all-mesa-and-aria-car-seats?_j=taylormadebabyco.com,https://www.macrobaby.com/products/uppababy-adapters-for-minu-v3-compatible-with-all-mesa-and-aria-car-seats?_j=taylormadebabyco.com,39.99,yes,0,,yes,,current,productType=stroller adapter; active=t
UPPAbaby Adapters for Ridge (Aria / Mesa / Bassinet),,UPPAbaby,,,,,SOLD_SEPARATELY,,,babylist_impact,cmqpj8bg10k3rdqwrh2ebh5y5,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-adapters-for-ridge-aria-mesa-bassinet%2F24448%2F1052652&partnerpropertyid=7490466,,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-adapters-for-ridge-aria-mesa-bassinet%2F24448%2F1052652&partnerpropertyid=7490466,https://babylist.pxf.io/c/6560395/1056628/13580?u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-adapters-for-ridge-aria-mesa-bassinet%2F24448%2F1052652&partnerpropertyid=7490466,39.99,yes,0,,yes,,current,productType=car seat adapter; active=t
UPPAbaby Car Seat Adapter for Chicco,,UPPAbaby,,,,,SOLD_SEPARATELY,,,babylist_impact,cmqpj8ign0k60dqwry1te9q4t,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=34950&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-car-seat-adapter-for-chicco%2F3509%2F34950&intsrc=CATF_8981,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=34950&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-car-seat-adapter-for-chicco%2F3509%2F34950&intsrc=CATF_8981,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=34950&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-car-seat-adapter-for-chicco%2F3509%2F34950&intsrc=CATF_8981,49.99,yes,0,,yes,,current,productType=infant car seat adapter; active=t
"Uppababy - Car Seat Adapter for Ridge, Nuna/Cybex/Maxi-Cosi",,UPPAbaby,,,,,SOLD_SEPARATELY,,,shopify_macrobaby,cmqx4krht00ix3a8ubhfb6sqh,,,https://www.macrobaby.com/products/uppababy-car-seat-adapter-for-ridge-nuna-cybex-maxi-cosi?_j=taylormadebabyco.com,https://www.macrobaby.com/products/uppababy-car-seat-adapter-for-ridge-nuna-cybex-maxi-cosi?_j=taylormadebabyco.com,49.99,yes,12,,yes,,current,productType=stroller adapter; active=t
"Uppababy - Car Seat Adapters For Minu V3 (Maxi-Cosi®, Nuna®, Cybex, Besafe®)",,UPPAbaby,,,,,SOLD_SEPARATELY,V3,,shopify_macrobaby,cmqx4kpn100ic3a8upzu8xm68,,,https://www.macrobaby.com/products/uppababy-car-seat-adapters-for-minu-v3-maxi-cosi-r-nuna-r-cybex-besafe-r?_j=taylormadebabyco.com,https://www.macrobaby.com/products/uppababy-car-seat-adapters-for-minu-v3-maxi-cosi-r-nuna-r-cybex-besafe-r?_j=taylormadebabyco.com,69.99,yes,0,,yes,,current,productType=stroller adapter; active=t
"UPPAbaby Car Seat Adapters for Minu V3 (Mesa/Mesa V2, Mesa Max, Mesa i-Size, Aria)",,UPPAbaby,,,,,SOLD_SEPARATELY,V3,,babylist_impact,cmqpj8iqc0k63dqwrow2cth6v,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2351355&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-car-seat-adapters-for-minu-v3-mesa-mesa-v2-mesa-max-mesa-i-size-aria%2F70619%2F2351355&intsrc=CATF_8981,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2351355&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-car-seat-adapters-for-minu-v3-mesa-mesa-v2-mesa-max-mesa-i-size-aria%2F70619%2F2351355&intsrc=CATF_8981,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2351355&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-car-seat-adapters-for-minu-v3-mesa-mesa-v2-mesa-max-mesa-i-size-aria%2F70619%2F2351355&intsrc=CATF_8981,39.99,yes,0,,yes,,current,productType=stroller adapter; active=t
"Uppababy Car Seat Adapters For Vista, Vista V2, Cruz And Cruz V2",,UPPAbaby,,,,,SOLD_SEPARATELY,V2,,shopify_macrobaby,cmqx4kl1f00gx3a8uy5mdw9z7,,,https://www.macrobaby.com/products/uppababy-car-seat-adapters-for-vista-vista-v2-cruz-and-cruz-v2?_j=taylormadebabyco.com,https://www.macrobaby.com/products/uppababy-car-seat-adapters-for-vista-vista-v2-cruz-and-cruz-v2?_j=taylormadebabyco.com,49.99,yes,0,,yes,,current,productType=stroller adapter; active=t
Uppababy - Lower Adapters For Vista And Vista V2,,UPPAbaby,,,,,SOLD_SEPARATELY,V2,,shopify_macrobaby,cmqx4ktxk00jo3a8uc7wxdbem,,,https://www.macrobaby.com/products/uppababy-lower-adapters-for-vista-and-vista-v2?_j=taylormadebabyco.com,https://www.macrobaby.com/products/uppababy-lower-adapters-for-vista-and-vista-v2?_j=taylormadebabyco.com,39.99,yes,0,,yes,,current,productType=stroller adapter; active=t
"UPPAbaby Lower Car Seat Adapters for VISTA and VISTA V2, Vista V3 (Maxi-Cosi, Nuna, Cybex, and BeSafe)",,UPPAbaby,,,,,SOLD_SEPARATELY,V2,,babylist_impact,cmqpib3nr09oidqwrclt41suu,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=41628&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-lower-car-seat-adapters-for-vista-and-vista-v2-vista-v3-maxi-cosi-nuna-cybex-and-besafe%2F24445%2F41628&intsrc=CATF_8981,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=41628&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-lower-car-seat-adapters-for-vista-and-vista-v2-vista-v3-maxi-cosi-nuna-cybex-and-besafe%2F24445%2F41628&intsrc=CATF_8981,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=41628&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-lower-car-seat-adapters-for-vista-and-vista-v2-vista-v3-maxi-cosi-nuna-cybex-and-besafe%2F24445%2F41628&intsrc=CATF_8981,49.99,yes,5,,yes,,current,productType=stroller adapter; active=t
"UPPAbaby MINU Car Seat Adapters (Maxi-Cosi, Nuna, Cybex & BeSafe)",,UPPAbaby,,,,,SOLD_SEPARATELY,,,babylist_impact,cmqpib6v109pidqwrxbstwxnf,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=39672&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-minu-car-seat-adapters-maxi-cosi-nuna-cybex-besafe%2F24447%2F39672&intsrc=CATF_8981,,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=39672&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-minu-car-seat-adapters-maxi-cosi-nuna-cybex-besafe%2F24447%2F39672&intsrc=CATF_8981,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=39672&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fuppababy-minu-car-seat-adapters-maxi-cosi-nuna-cybex-besafe%2F24447%2F39672&intsrc=CATF_8981,54.99,yes,0,,yes,,current,productType=stroller adapter; active=t
