platform,car_seat_brand,car_seat_model,condition,source_column,pair_type
Cruiser XL,Britax,B-Safe 35 Elite,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,B-Safe Ultra,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,B-Safe Gen2,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,B-Safe Gen2 FlexFit,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,B-Safe Gen2 FlexFit+,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,Endeavour,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,Chaperone,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,UPPAbaby,Mesa,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,UPPAbaby,Mesa V2,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,UPPAbaby,Mesa Max,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,UPPAbaby,Aria,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Nuna,PIPA aire RX,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Nuna,PIPA lite lx,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Nuna,PIPA lite,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Nuna,PIPA RX,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Nuna,PIPA,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Cybex,Aton Q & M,,Cruiser XL & Cruiser City XL,COMBINED_SOURCE_ENTRY
Cruiser XL,Maxi-Cosi,Mico Max 30,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Maxi-Cosi,Mico 30,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Maxi-Cosi,Nxt,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Maxi-Cosi,Mico AP,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Clek,Liing,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,Cypress,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,Willow,† requires Cruiser seat back folded down,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,Willow S,† requires Cruiser seat back folded down,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Britax,Willow SC,† requires Cruiser seat back folded down,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Chicco,Fit2 (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Chicco,Fit2 LE (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Chicco,Keyfit (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Chicco,Keyfit 35 (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Chicco,Keyfit 30 (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser XL,Peg Perego,Primo Viaggio 4-35,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser XL,Peg Perego,Primo Viaggio 4-35 Nido,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Graco,All Graco Click Connect Systems,,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Graco,Baby Jogger City Go,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Graco,Baby Jogger City Mini GT,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Graco,SnugRide SnugLock (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Graco,SnugRide Click Connect,,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Britax,B-Safe 35,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,B-Safe 35 Elite,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,B-Safe Ultra,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,B-Safe Gen2,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,B-Safe Gen2 FlexFit,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,B-Safe Gen2 FlexFit+,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,Endeavour,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,Chaperone,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,UPPAbaby,Mesa,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,UPPAbaby,Mesa V2,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,UPPAbaby,Mesa Max,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,UPPAbaby,Aria,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Nuna,PIPA aire RX,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Nuna,PIPA lite lx,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Nuna,PIPA lite,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Nuna,PIPA RX,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Nuna,PIPA,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Cybex,Aton Q & M,,Cruiser XL & Cruiser City XL,COMBINED_SOURCE_ENTRY
Cruiser City XL,Maxi-Cosi,Mico Max 30,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Maxi-Cosi,Mico 30,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Maxi-Cosi,Nxt,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Maxi-Cosi,Mico AP,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Clek,Liing,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,Cypress,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,Willow,† requires Cruiser seat back folded down,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,Willow S,† requires Cruiser seat back folded down,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Britax,Willow SC,† requires Cruiser seat back folded down,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Chicco,Fit2 (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Chicco,Fit2 LE (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Chicco,Keyfit (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Chicco,Keyfit 35 (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Chicco,Keyfit 30 (all models),,Cruiser XL & Cruiser City XL,FAMILY_OR_SYSTEM_CLAIM
Cruiser City XL,Peg Perego,Primo Viaggio 4-35,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
Cruiser City XL,Peg Perego,Primo Viaggio 4-35 Nido,,Cruiser XL & Cruiser City XL,EXACT_SOURCE_PAIR
&Roll,Graco,All Graco Click Connect Systems,,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Roll,Graco,Baby Jogger City Go,,&Roll,EXACT_SOURCE_PAIR
&Roll,Graco,Baby Jogger City Mini GT,,&Roll,EXACT_SOURCE_PAIR
&Roll,Graco,SnugRide SnugLock (all models),,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Roll,Graco,SnugRide Click Connect,,&Roll,FAMILY_OR_SYSTEM_CLAIM
&Roll,Britax,B-Safe 35,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,B-Safe 35 Elite,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,B-Safe Ultra,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,B-Safe Gen2,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,B-Safe Gen2 FlexFit,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,B-Safe Gen2 FlexFit+,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,Endeavour,,&Roll,EXACT_SOURCE_PAIR
&Roll,Britax,Chaperone,,&Roll,EXACT_SOURCE_PAIR
&Roll,UPPAbaby,Mesa,,&Roll,EXACT_SOURCE_PAIR
&Roll,UPPAbaby,Mesa V2,,&Roll,EXACT_SOURCE_PAIR
&Roll,UPPAbaby,Mesa Max,,&Roll,EXACT_SOURCE_PAIR
&Roll,UPPAbaby,Aria,,&Roll,EXACT_SOURCE_PAIR
&Roll,Nuna,PIPA aire RX,,&Roll,EXACT_SOURCE_PAIR
&Roll,Nuna,PIPA lite lx,,&Roll,EXACT_SOURCE_PAIR
