id,provider,brand,title,canonicalBrand,canonicalName,tmbcCategory,productType,review_status,needs_review,active_in_feed,retailer,itemGroupId,price,productUrl
cmqphuukp04kldqwr4gun50ot,babylist_impact,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Silver Frame/Stone Grey,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Silver Frame/Stone Grey,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,80258,1499.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-cloud-g-pro-travel-system/80258/3050116
cmqphuub904kidqwrwxwdmht7,babylist_impact,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Taupe Frame/Almond Beige,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Taupe Frame/Almond Beige,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,80258,1499.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-cloud-g-pro-travel-system/80258/3050115
cmqphuv3q04krdqwr9i3v1wgm,babylist_impact,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Taupe Frame/Moon Black,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Taupe Frame/Moon Black,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,80258,1499.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-cloud-g-pro-travel-system/80258/3050119
cmqphutsk04kcdqwrebznvcvv,babylist_impact,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Taupe Frame/Stormy Blue,Cybex,Cybex Gazelle S Stroller + Cloud G Pro Travel System in Taupe Frame/Stormy Blue,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,80258,1499.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-cloud-g-pro-travel-system/80258/3050113
cmqphusfn04jxdqwrdle7m6i0,babylist_impact,Cybex,Cybex Gazelle S Stroller in Almond Beige Seat/Taupe Frame,Cybex,Cybex Gazelle S Stroller in Almond Beige Seat/Taupe Frame,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,38515,899.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-1749563054/38515/2458469
cmqphut7v04k6dqwrn5nmjke1,babylist_impact,Cybex,Cybex Gazelle S Stroller in Moon Black Frame,Cybex,Cybex Gazelle S Stroller in Moon Black Frame,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,38515,899.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-1749563054/38515/2862287
cmqphus6a04judqwrnsrrndpt,babylist_impact,Cybex,Cybex Gazelle S Stroller in Moon Black/Silver Frame,Cybex,Cybex Gazelle S Stroller in Moon Black/Silver Frame,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,38515,899.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-1749563054/38515/1502010
cmqphutjh04k9dqwryznjedlc,babylist_impact,Cybex,Cybex Gazelle S Stroller in Moon Black/Taupe Frame,Cybex,Cybex Gazelle S Stroller in Moon Black/Taupe Frame,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,38515,899.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-1749563054/38515/3045840
cmqphusp404k0dqwr5wnkxkxk,babylist_impact,Cybex,Cybex Gazelle S Stroller in Stone Grey Seat/Silver Frame,Cybex,Cybex Gazelle S Stroller in Stone Grey Seat/Silver Frame,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,38515,899.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-1749563054/38515/2847007
cmqphusyk04k3dqwrcz74e7oh,babylist_impact,Cybex,Cybex Gazelle S Stroller in Stormy Blue/Taupe Frame,Cybex,Cybex Gazelle S Stroller in Stormy Blue/Taupe Frame,Strollers,single-to-double stroller,REVIEWED,f,t,Babylist,38515,899.95,https://www.babylist.com/gp/cybex-gazelle-s-stroller-1749563054/38515/2847008
cmqu6x8om0076qut10amwuzdx,awin_anbbaby,Cybex,Cybex Gazelle S Stroller - Navy Blue,Cybex,Cybex Gazelle S Stroller - Navy Blue,Strollers,single-to-double stroller,REVIEWED,f,t,ANB Baby,,359.99,
cmqphv0jr04midqwrdco75yjp,babylist_impact,Cybex,Cybex Libelle Stroller Travel Bag in Black,Cybex,Cybex Libelle Stroller Travel Bag in Black,Strollers,travel stroller,REVIEWED,f,t,Babylist,38014,89.95,https://www.babylist.com/gp/cybex-libelle-stroller-travel-bag/38014/1441264
cmqphv0t204mldqwruonyd8gw,babylist_impact,Cybex,Cybex LIBELLE Ultra Lightweight Travel Stroller in Magic Black,Cybex,Cybex LIBELLE Ultra Lightweight Travel Stroller in Magic Black,Strollers,travel stroller,REVIEWED,f,t,Babylist,81557,349.95,https://www.babylist.com/gp/cybex-libelle-ultra-lightweight-travel-stroller/81557/3142527
