id,provider,brand,title,tmbcCategory,productType,price,affiliateUrl,imageUrl,active_in_feed
cmqx4kpbb00i93a8unx89of3u,shopify_macrobaby,Silver Cross,Silver Cross - Jet 5 & Jet Double Car Seat Adapters,Travel Systems & Adapters,stroller adapter,59.99,https://www.macrobaby.com/products/silver-cross-jet-5-jet-double-car-seat-adapters-1?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/silver-cross-jet-5-jet-double-car-seat-adapters-1_image_1.jpg?v=1776538993,t
cmqx6m7q8002u3ld4khnl916y,shopify_macrobaby,Silver Cross,Silver Cross - Nia Universal Car Seat Adapters,Travel Systems & Adapters,stroller adapter,59.99,https://www.macrobaby.com/products/silver-cross-nia-universal-car-seat-adapters?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/silver-cross-nia-universal-car-seat-adapters_image_1.jpg?v=1775673405,t
cmqpj3rsa0inodqwret4enuv2,babylist_impact,Stokke,Stokke YOYO³ Stroller and Car Seat Adapter Bundle in Aqua,Travel Systems & Adapters,infant car seat adapter,558,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2593076&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fstokke-yoyo-stroller-and-car-seat-adapter-bundle%2F75350%2F2593076&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/c719fb369ef70cb6b45f08cfc52b0068b16eb96f287078017893910107531dbc/31c6aca159700c83aa5afc6601b59e86/c719fb369ef70cb6b45f08cfc52b0068b16eb96f287078017893910107531dbc.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqpj3s3r0inrdqwrbos4dye9,babylist_impact,Stokke,Stokke YOYO³ Stroller and Car Seat Adapter Bundle in Black,Travel Systems & Adapters,infant car seat adapter,558,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2594262&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fstokke-yoyo-stroller-and-car-seat-adapter-bundle%2F75350%2F2594262&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/d66b7cceaa935ab93eb02ff17083e25460cb8572497ef4787cc2f4a57a890d7a/78105defd63faa5f918da6a6be549d40/d66b7cceaa935ab93eb02ff17083e25460cb8572497ef4787cc2f4a57a890d7a.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqpj3r9u0inidqwro0o1ktr0,babylist_impact,Stokke,Stokke YOYO³ Stroller and Car Seat Adapter Bundle in Olive,Travel Systems & Adapters,infant car seat adapter,558,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2593074&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fstokke-yoyo-stroller-and-car-seat-adapter-bundle%2F75350%2F2593074&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/896819d49556b35aaca979713bff95056721951b7dd2f6c11668e0d4676b7925/a8107ec3e1726cd10b0f4c32b2d13492/896819d49556b35aaca979713bff95056721951b7dd2f6c11668e0d4676b7925.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqpj3riy0inldqwrzambewy3,babylist_impact,Stokke,Stokke YOYO³ Stroller and Car Seat Adapter Bundle in Toffee,Travel Systems & Adapters,infant car seat adapter,558,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2593077&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fstokke-yoyo-stroller-and-car-seat-adapter-bundle%2F75350%2F2593077&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/87cac311c623e720f4339d4ed9a55eb0ba9dd0a7920afd2a94e168bd2405289e/fcfe5ee3e24fe7b33f5002b707b5f7cb/87cac311c623e720f4339d4ed9a55eb0ba9dd0a7920afd2a94e168bd2405289e.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqx4kg7e00ff3a8uop5k6eif,shopify_macrobaby,Stokke,Stokke - YOYO Car Seat Adapters,Travel Systems & Adapters,stroller adapter,59,https://www.macrobaby.com/products/stokke-yoyo2-car-seat-adapters?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/stokke-yoyo2-car-seat-adapters_image_1.jpg?v=1775765296,t
cmqpj3o640imidqwr6vmgeaoc,babylist_impact,Stokke,Stokke YOYO Car Seat Adapters,Travel Systems & Adapters,stroller adapter,59,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=2283117&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fstokke-yoyo-car-seat-adapters%2F14413%2F2283117&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/892b4d1fe7ed300a700e446e85e0d92ddf73286b196a9fdc6ba62062577403ff/9525a9e3d9f9d753485ad569b0bcf8e5/892b4d1fe7ed300a700e446e85e0d92ddf73286b196a9fdc6ba62062577403ff.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqpj3ofe0imldqwrefohi1vd,babylist_impact,Stokke,Stokke YOYO Connect Bassinet Adapters in Black,Travel Systems & Adapters,stroller adapter,40,https://babylist.pxf.io/c/6560395/1160375/13580?prodsku=1423711&u=https%3A%2F%2Fwww.babylist.com%2Fgp%2Fstokke-yoyo-connect-bassinet-adapters%2F37726%2F1423711&intsrc=CATF_8981,https://images.ctfassets.net/50gzycvace50/7c88e8e8ec345cafa680d056ba6cc1778362e6028b36d6f52d093ea468772737/ae1eb00a730d22e79c3822fb1a007d4d/7c88e8e8ec345cafa680d056ba6cc1778362e6028b36d6f52d093ea468772737.png?fl=progressive&fm=jpg&bg=rgb:fafafa&w=620&h=620,t
cmqu9e0o400206bye5ayanqcq,awin_anbbaby,Thule,THULE Sleek Car Seat Adapter for Maxi Cosi,Travel Systems & Adapters,stroller adapter,64.95,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-sleek-car-seat-adapter-for-maxi-cosi%3Fvariant%3D32247036510294,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/thule-sleek-car-seat-adapter-for-maxi-cosithu11000300anb-babyanb-baby-965159.jpg?v=1739541752,t
cmr2gpdta000idm5jjcrpe5cd,manual_tmbc,Thule,Thule Sleek Car Seat Adapter for Maxi-Cosi,Travel Systems & Adapters,car seat adapter,,https://www.amazon.com/dp/B07FRRM8VD?tag=taylormadebab-20,,t
cmqx6m61w002l3ld4dgxj58ku,shopify_macrobaby,Thule,Thule - Spring Car Seat Adapter Chicco,Travel Systems & Adapters,stroller adapter,59.95,https://www.macrobaby.com/products/thule-spring-car-seat-adapter-chicco?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/thule-spring-car-seat-adapter-chicco_image_1.jpg?v=1767995072,t
cmqx6l7hz00193ld4da0hnc92,shopify_macrobaby,Thule,Thule - Spring Car Seat Adapter Maxi Cosi,Travel Systems & Adapters,stroller adapter,59.95,https://www.macrobaby.com/products/thule-spring-car-seat-adapter-maxi-cosi?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/thule-spring-car-seat-adapter-maxi-cosi_image_1.jpg?v=1773445022,t
cmqu9dwjr001x6bye201ua9ky,awin_anbbaby,Thule,THULE Spring Stroller Car Seat Adapter Chicco - Black,Travel Systems & Adapters,stroller adapter,59.95,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-spring-stroller-car-seat-adapter-chicco%3Fvariant%3D31761635672150,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/thule-spring-stroller-car-seat-adapter-chicco-blackthu11300411anb-babyanb-baby-620590.jpg?v=1739540439,t
cmqu9dwa4001u6byee9z5z504,awin_anbbaby,Thule,THULE Spring Stroller Car Seat Adapter Maxi Cosi - Black,Travel Systems & Adapters,stroller adapter,59.95,https://www.awin1.com/cread.php?awinmid=75150&awinaffid=2588613&ued=https%3A%2F%2Fwww.anbbaby.com%2Fproducts%2Fthule-spring-stroller-car-seat-adapter-maxi-cosi%3Fvariant%3D31761602576470,https://cdn.shopify.com/s/files/1/0030/3949/4244/files/thule-spring-stroller-car-seat-adapter-maxi-cosi-blackthu11300410anb-babyanb-baby-740852.jpg?v=1739540625,t
cmqx6lyr0001o3ld4ll770q0c,shopify_macrobaby,Thule,"Thule - Urban Glide 3 car seat Adapter Universal/Chicco®, Black",Travel Systems & Adapters,stroller adapter,79.95,https://www.macrobaby.com/products/thule-urban-glide-3-car-seat-adapter-universal-chicco%C2%AE-black?_j=taylormadebabyco.com,https://cdn.shopify.com/s/files/1/0325/7932/1915/files/thule-urban-glide-3-car-seat-adapter-universal-chicco_-black_image_1.jpg?v=1769354810,t
