brand,model,gbgPrice,originalPrice,pctOff,inStock,gbgTitle,url
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2023, Chrome, Sepia Black",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41826066366567&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-chrome-sepia-black-2&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2024, Mirage Grey, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41942429696103&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-mirage-grey-rose-gold-1&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2023, Rose Gold, Mirage Grey",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=42125266944103&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-rose-gold-mirage-grey&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2023, Matte Black, Off White",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41678768570471&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-matte-black-off-white-3&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2023, Off White, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=42283207065703&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-off-white-rose-gold-4&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2023, Off White, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43781456003175&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-off-white-rose-gold-7&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2024, Mirage Grey, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43791972958311&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-mirage-grey-rose-gold-3&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2023, Matte Black, Mirage Grey",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41840596156519&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2023-matte-black-mirage-grey-2&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2024, Mirage Grey, Rose Gold",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=41869771898983&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-mirage-grey-rose-gold&intsrc=APIG_26298
Cybex,Coya,285,599.95,52,true,"Cybex Coya Stroller, 2024, Chrome, Mirage Grey",https://goodbuygear.pxf.io/c/6560395/3226197/40600?prodsku=43838782472295&u=https%3A%2F%2Fgoodbuygear.com%2Fproducts%2Fcybex-coya-stroller-2024-chrome-mirage-grey&intsrc=APIG_26298
