category,stroller,seat_brand,seat_model,type,has_link,has_image
(uncategorized),Baby Jogger City Mini 2,Cybex,Cloud G Pro Comfort Extend,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Clek,Liing,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,KeyFit Max Zip ClearTex,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Clek,Liingo,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Maxi-Cosi,Ambra,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini 2,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Clek,Liing,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Clek,Liingo,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Cybex,Cloud G Pro Comfort Extend,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Ambra,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini Double,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini GT2,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini GT2,Chicco,KeyFit Max Zip ClearTex,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini GT2,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Baby Jogger City Mini GT2,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Britax,Cypress S,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Britax,B-Safe 35,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Clek,Liingo,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Cybex,Cloud G Pro Comfort Extend,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Peg Perego,Primo Viaggio Nido,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Chicco,KeyFit Max Zip ClearTex,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Maxi-Cosi,Ambra,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Britax,Willow S,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Clek,Liing,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Peg Perego,Primo Viaggio 4-35,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Britax,B-Safe Gen2 FlexFit,ADAPTER,false,false
(uncategorized),Baby Jogger City Select 2,Britax,B-Safe 35 Elite,ADAPTER,false,false
(uncategorized),Baby Jogger City Sights,Nuna,PIPA Aire rx,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Maxi-Cosi,Ambra,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Cybex,Cloud G Pro Comfort Extend,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Maxi-Cosi,Mico Pro,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Baby Jogger City Sights,Nuna,PIPA Aire,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Maxi-Cosi,Peri 180,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Maxi-Cosi,Coral XP,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Cybex,Cloud T,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Maxi-Cosi,Mico Luxe,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Cybex,Aton G,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Nuna,PIPA urbn,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Nuna,PIPA RX,ADAPTER,true,true
(uncategorized),Baby Jogger City Sights,Chicco,KeyFit Max Zip ClearTex,ADAPTER,false,false
(uncategorized),Baby Jogger City Sights,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Baby Jogger City Sights,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Babyzen YOYO+,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,UPPAbaby,Aria,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,UPPAbaby,Aria V2,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,UPPAbaby,Mesa V3,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,UPPAbaby,Mesa Max,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Chicco,Fit2,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Peg Perego,Primo Viaggio 4-35,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Britax,Cypress S,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Britax,Willow S,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Britax,B-Safe 35,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Britax,B-Safe 35 Elite,ADAPTER,false,false
(uncategorized),BOB Alterrain Pro,Britax,B-Safe Gen2 FlexFit,ADAPTER,false,false
(uncategorized),BOB Rambler,Cybex,Aton G,ADAPTER,false,false
(uncategorized),BOB Rambler,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),BOB Rambler,Britax,Cypress S,ADAPTER,false,false
(uncategorized),BOB Rambler,Britax,Willow S,ADAPTER,false,false
(uncategorized),BOB Rambler,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),BOB Rambler,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),BOB Renegade Wagon,Britax,Cypress S,ADAPTER,false,false
(uncategorized),BOB Renegade Wagon,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),BOB Renegade Wagon,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),BOB Renegade Wagon,Cybex,Aton G,ADAPTER,false,false
(uncategorized),BOB Renegade Wagon,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),BOB Renegade Wagon,Britax,Willow S,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,UPPAbaby,Mesa V3,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,Britax,Willow S,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,Britax,Cypress S,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,Cybex,Aton G,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,UPPAbaby,Aria V2,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,Britax,Willow S,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,Britax,Cypress S,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,UPPAbaby,Aria V2,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,UPPAbaby,Mesa V3,ADAPTER,false,false
(uncategorized),BOB Revolution Flex 3.0 Duallie,Cybex,Aton G,ADAPTER,false,false
Jogging / All-Terrain,BOB Wayfinder,Britax,Willow S,ADAPTER,false,false
Jogging / All-Terrain,BOB Wayfinder,Nuna,PIPA RX,ADAPTER,false,false
Jogging / All-Terrain,BOB Wayfinder,Cybex,Aton G,ADAPTER,false,false
Jogging / All-Terrain,BOB Wayfinder,Nuna,PIPA Aire rx,ADAPTER,false,false
Jogging / All-Terrain,BOB Wayfinder,Chicco,KeyFit 35,ADAPTER,false,false
Jogging / All-Terrain,BOB Wayfinder,Britax,Cypress S,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Clek,Liing,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Clek,Liingo,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Ant,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Clek,Liing,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bugaboo Bee 5,Clek,Liingo,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Bugaboo,Turtle Air,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Bugaboo,Turtle One,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Bee 6,Maxi-Cosi,Peri 180,ADAPTER,false,false
Travel,Bugaboo Butterfly,Cybex,Cloud T,ADAPTER,false,false
Travel,Bugaboo Butterfly,Maxi-Cosi,Coral XP,ADAPTER,false,false
Travel,Bugaboo Butterfly,Chicco,Fit2,ADAPTER,false,false
Travel,Bugaboo Butterfly,Cybex,Aton G,ADAPTER,false,false
Travel,Bugaboo Butterfly,Nuna,PIPA RX,ADAPTER,false,false
Travel,Bugaboo Butterfly,Bugaboo,Turtle Air,ADAPTER,false,false
Travel,Bugaboo Butterfly,Nuna,PIPA Aire rx,ADAPTER,false,false
Travel,Bugaboo Butterfly,Clek,Liing,LIMITED,false,false
Travel,Bugaboo Butterfly,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
Travel,Bugaboo Butterfly,Bugaboo,Turtle One,ADAPTER,false,false
Travel,Bugaboo Butterfly,Maxi-Cosi,Mico Pro,ADAPTER,false,false
Travel,Bugaboo Butterfly,Clek,Liingo,LIMITED,false,false
Travel,Bugaboo Butterfly,Maxi-Cosi,Peri 180,ADAPTER,false,false
Travel,Bugaboo Butterfly,Chicco,KeyFit 35,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Chicco,Fit2,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Nuna,PIPA urbn,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Maxi-Cosi,Mico Pro,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Nuna,PIPA RX,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Bugaboo,Turtle One,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Bugaboo,Turtle Air,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Nuna,PIPA Aire rx,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Maxi-Cosi,Coral XP,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Clek,Liing,ADAPTER,true,true
Travel,Bugaboo Butterfly 2,Maxi-Cosi,Peri 180,ADAPTER,false,false
Travel,Bugaboo Butterfly 2,Nuna,PIPA Aire,ADAPTER,true,true
Travel,Bugaboo Butterfly 2,Bugaboo,Turtle Air Shield by Nuna,ADAPTER,true,true
Travel,Bugaboo Butterfly 2,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Britax,B-Safe Gen2 FlexFit,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Britax,B-Safe 35 Elite,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Britax,B-Safe 35,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Clek,Liing,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Clek,Liingo,ADAPTER,false,false
(uncategorized),Bugaboo Donkey 3,Maxi-Cosi,Coral XP,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Bugaboo,Turtle One,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Bugaboo,Turtle Air,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Nuna,PIPA RX,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Maxi-Cosi,Mico Pro,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Maxi-Cosi,Coral XP,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Chicco,KeyFit 35,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Chicco,Fit2,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Maxi-Cosi,Peri 180,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Cybex,Cloud T,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Cybex,Aton G,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
Single-to-Double,Bugaboo Donkey 6,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Maxi-Cosi,Ambra,ADAPTER,true,true
(uncategorized),Bugaboo Dragonfly,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Bugaboo,Turtle Air,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Nuna,PIPA Aire,ADAPTER,true,true
(uncategorized),Bugaboo Dragonfly,Nuna,PIPA urbn,ADAPTER,true,true
(uncategorized),Bugaboo Dragonfly,Clek,Liingo,LIMITED,false,false
(uncategorized),Bugaboo Dragonfly,Clek,Liing,LIMITED,false,false
(uncategorized),Bugaboo Dragonfly,Bugaboo,Turtle One,ADAPTER,false,false
(uncategorized),Bugaboo Dragonfly,Cybex,Cloud G Pro Comfort Extend,ADAPTER,true,true
(uncategorized),Bugaboo Fox 2,Britax,B-Safe 35,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Britax,B-Safe 35 Elite,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Britax,B-Safe Gen2 FlexFit,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Chicco,KeyFit 30,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Peg Perego,Primo Viaggio 4-35,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Fox 2,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Bugaboo,Turtle Air,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Clek,Liingo,LIMITED,false,false
(uncategorized),Bugaboo Fox 5,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Fox 5,Clek,Liing,LIMITED,false,false
(uncategorized),Bugaboo Fox 5,Bugaboo,Turtle One,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Bugaboo,Turtle Air,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Bugaboo,Turtle One,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bugaboo Kangaroo,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Nuna,PIPA urbn,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Nuna,PIPA Aire,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Bugaboo,Turtle One,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Bugaboo,Turtle Air,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Maxi-Cosi,Coral XP,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Chicco,KeyFit 35,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Cybex,Cloud T,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Clek,Liing,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Clek,Liingo,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Chicco,Fit2,ADAPTER,false,false
(uncategorized),Bugaboo Lynx,Maxi-Cosi,Peri 180,ADAPTER,false,false
(uncategorized),Bumbleride Era,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bumbleride Era,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bumbleride Era,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bumbleride Era,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bumbleride Era,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bumbleride Indie,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bumbleride Indie,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bumbleride Indie,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bumbleride Indie,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bumbleride Indie,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bumbleride Indie Twin,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bumbleride Indie Twin,Nuna,PIPA Aire rx,ADAPTER,false,false
(uncategorized),Bumbleride Indie Twin,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bumbleride Indie Twin,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bumbleride Indie Twin,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bumbleride Speed,Nuna,PIPA RX,ADAPTER,false,false
(uncategorized),Bumbleride Speed,Maxi-Cosi,Mico Pro,ADAPTER,false,false
(uncategorized),Bumbleride Speed,Cybex,Aton G,ADAPTER,false,false
(uncategorized),Bumbleride Speed,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
(uncategorized),Bumbleride Speed,Nuna,PIPA Aire rx,ADAPTER,false,false
Full-Size,CYBEX Balios S Lux,Maxi-Cosi,Mico Pro,ADAPTER,false,false
Full-Size,CYBEX Balios S Lux,Nuna,PIPA Aire rx,ADAPTER,false,false
Full-Size,CYBEX Balios S Lux,Maxi-Cosi,Peri 180,ADAPTER,false,false
Full-Size,CYBEX Balios S Lux,Maxi-Cosi,Coral XP,ADAPTER,false,false
Full-Size,CYBEX Balios S Lux,Nuna,PIPA RX,ADAPTER,false,false
Full-Size,CYBEX Balios S Lux,Maxi-Cosi,Mico Luxe,ADAPTER,false,false
